rank,category,slug,title,english_source,romanian_source
11,google-ai,google-ai-overviews-source-selection,AI Overviews Source Selection: How to Build Pages Worth Supporting,https://niculae.info/blog/google-ai-overviews-source-selection/,https://niculae.info/ro/blog/google-ai-overviews-source-selection/
12,google-ai,google-ai-mode-query-fan-out,AI Mode Query Fan-Out: Content Strategy for Multi-Search Answers,https://niculae.info/blog/google-ai-mode-query-fan-out/,https://niculae.info/ro/blog/google-ai-mode-query-fan-out/
13,google-ai,google-ai-mode-deep-search,AI Mode Deep Search: Designing Evidence for Complex Research Journeys,https://niculae.info/blog/google-ai-mode-deep-search/,https://niculae.info/ro/blog/google-ai-mode-deep-search/
14,google-ai,google-ai-mode-multimodal-search,"AI Mode Multimodal Search: Aligning Text, Images and Video Signals",https://niculae.info/blog/google-ai-mode-multimodal-search/,https://niculae.info/ro/blog/google-ai-mode-multimodal-search/
15,google-ai,commercial-pages-google-ai-mode,Commercial Pages in AI Mode: How Product and Service Content Can Remain Useful,https://niculae.info/blog/commercial-pages-google-ai-mode/,https://niculae.info/ro/blog/commercial-pages-google-ai-mode/
16,bing-copilot,copilot-citations,Copilot Citations: A Publisher Framework for Source Visibility,https://niculae.info/blog/copilot-citations/,https://niculae.info/ro/blog/copilot-citations/
17,bing-copilot,bing-ai-performance,Bing AI Performance: Reading Citation Metrics without Treating Them as Rankings,https://niculae.info/blog/bing-ai-performance/,https://niculae.info/ro/blog/bing-ai-performance/
18,bing-copilot,bing-ai-cited-pages,Bing AI Cited Pages: Turning URL-Level Citation Data into Editorial Decisions,https://niculae.info/blog/bing-ai-cited-pages/,https://niculae.info/ro/blog/bing-ai-cited-pages/
19,bing-copilot,bing-grounding-queries,Grounding Queries in Bing AI: What They Reveal About Retrieval Intent,https://niculae.info/blog/bing-grounding-queries/,https://niculae.info/ro/blog/bing-grounding-queries/
20,bing-copilot,bing-webmaster-ai-metrics,Bing Webmaster AI Metrics: Building a Citation Dashboard That Executives Can Use,https://niculae.info/blog/bing-webmaster-ai-metrics/,https://niculae.info/ro/blog/bing-webmaster-ai-metrics/
21,bing-copilot,indexnow-ai-freshness,IndexNow for AI Freshness: When Real-Time URL Submission Helps,https://niculae.info/blog/indexnow-ai-freshness/,https://niculae.info/ro/blog/indexnow-ai-freshness/
22,citation-engineering,ai-citations-vs-organic-rankings,AI Citations vs Organic Rankings: Why They Are Different Visibility Signals,https://niculae.info/blog/ai-citations-vs-organic-rankings/,https://niculae.info/ro/blog/ai-citations-vs-organic-rankings/
23,citation-engineering,brand-mentions-vs-source-citations,Brand Mentions vs Source Citations in AI Search: What Should You Measure?,https://niculae.info/blog/brand-mentions-vs-source-citations/,https://niculae.info/ro/blog/brand-mentions-vs-source-citations/
24,citation-engineering,primary-source-citations,Primary-Source Citations: When the Original Evidence Should Win,https://niculae.info/blog/primary-source-citations/,https://niculae.info/ro/blog/primary-source-citations/
25,citation-engineering,citation-ready-definitions,Citation-Ready Definitions: Writing Terms That Can Be Reused without Distortion,https://niculae.info/blog/citation-ready-definitions/,https://niculae.info/ro/blog/citation-ready-definitions/
26,citation-engineering,ai-citation-share-of-voice,AI Citation Share of Voice: A Transparent Measurement Model,https://niculae.info/blog/ai-citation-share-of-voice/,https://niculae.info/ro/blog/ai-citation-share-of-voice/
27,citation-engineering,ai-citation-coverage,AI Citation Coverage: Measuring How Much of a Topic Portfolio Gets Referenced,https://niculae.info/blog/ai-citation-coverage/,https://niculae.info/ro/blog/ai-citation-coverage/
28,entity-seo,organization-entity-consistency,"Organization Entity Consistency: Aligning Name, URL, Profiles and Descriptions",https://niculae.info/blog/organization-entity-consistency/,https://niculae.info/ro/blog/organization-entity-consistency/
29,entity-seo,person-entity-authority,Person Entity Authority: Building a Verifiable Executive and Author Presence,https://niculae.info/blog/person-entity-authority/,https://niculae.info/ro/blog/person-entity-authority/
30,entity-seo,entity-disambiguation,Entity Disambiguation: Preventing Name Collisions in Search and AI Answers,https://niculae.info/blog/entity-disambiguation/,https://niculae.info/ro/blog/entity-disambiguation/
31,entity-seo,brand-descriptions-across-web,Brand Descriptions Across the Web: Reducing Conflicting Entity Narratives,https://niculae.info/blog/brand-descriptions-across-web/,https://niculae.info/ro/blog/brand-descriptions-across-web/
32,measurement,branded-mention-measurement,Branded Mention Measurement: Tracking Presence without Confusing It with Citation,https://niculae.info/blog/branded-mention-measurement/,https://niculae.info/ro/blog/branded-mention-measurement/
33,entity-seo,offsite-brand-consistency,Off-Site Brand Consistency: Aligning Third-Party Mentions for AI Discovery,https://niculae.info/blog/offsite-brand-consistency/,https://niculae.info/ro/blog/offsite-brand-consistency/
34,citation-engineering,digital-pr-ai-citations,Digital PR for AI Citations: Building Third-Party Evidence without Link-Chasing,https://niculae.info/blog/digital-pr-ai-citations/,https://niculae.info/ro/blog/digital-pr-ai-citations/
35,measurement,search-console-ai-feature-measurement,Measuring Google AI Feature Traffic in Search Console without Invented Metrics,https://niculae.info/blog/search-console-ai-feature-measurement/,https://niculae.info/ro/blog/search-console-ai-feature-measurement/
36,chatgpt-search,chatgpt-search-measurement,"Measuring ChatGPT Search Visibility: Citations, Referrals and Business Outcomes",https://niculae.info/blog/chatgpt-search-measurement/,https://niculae.info/ro/blog/chatgpt-search-measurement/
37,measurement,ai-referral-attribution,AI Referral Attribution: What Analytics Can and Cannot Tell You,https://niculae.info/blog/ai-referral-attribution/,https://niculae.info/ro/blog/ai-referral-attribution/
38,international,multilingual-hreflang-geo,Multilingual GEO and Hreflang: Keeping Language Variants Distinct and Connected,https://niculae.info/blog/multilingual-hreflang-geo/,https://niculae.info/ro/blog/multilingual-hreflang-geo/
39,international,international-hreflang-for-ai-era-search-definitions-scope-metrics,"Hreflang for AI-era Search: Definitions, Scope, Metrics, and Practical Implications",https://niculae.info/blog/international-hreflang-for-ai-era-search-definitions-scope-metrics/,https://niculae.info/ro/blog/international-hreflang-for-ai-era-search-definitions-scope-metrics/
40,international,local-romanian-language-ai-search-machine-understanding,Romanian-Language AI Search: What Search Engines and AI Systems Can Actually Understand,https://niculae.info/blog/local-romanian-language-ai-search-machine-understanding/,https://niculae.info/ro/blog/local-romanian-language-ai-search-machine-understanding/
41,frameworks,trust-eeat-for-ai-search-retrieve-verify-cite,"E-E-A-T for AI Search: How to Make Content Easier to Retrieve, Verify, and Cite",https://niculae.info/blog/trust-eeat-for-ai-search-retrieve-verify-cite/,https://niculae.info/ro/blog/trust-eeat-for-ai-search-retrieve-verify-cite/
42,structured-data,schema-structured-data-governance-retrieve-verify-cite,"Structured Data Governance: How to Make Content Easier to Retrieve, Verify, and Cite",https://niculae.info/blog/schema-structured-data-governance-retrieve-verify-cite/,https://niculae.info/ro/blog/schema-structured-data-governance-retrieve-verify-cite/
43,structured-data,schema-article-schema-retrieve-verify-cite,"Article Schema: How to Make Content Easier to Retrieve, Verify, and Cite",https://niculae.info/blog/schema-article-schema-retrieve-verify-cite/,https://niculae.info/ro/blog/schema-article-schema-retrieve-verify-cite/
